#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-10-14 17:37:02.336
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 100 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.48031 V
#Offset: -6.64227e-05 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.54429 V
#Offset: 8.32559e-06 V
#Attenuation: 1 X

Frequency (Hz)	Trace ? (°)	Trace |Z| (?)	Trace Rs (?)	Trace Xs (?)
1.22735e+06	-59.2457	620.566	317.331	-533.295
1.23302e+06	-56.6741	654.655	359.667	-547.003
1.23871e+06	-55.3893	695.846	395.239	-572.702
1.24443e+06	-57.2594	769.661	416.26	-647.383
1.25017e+06	-61.9948	820.15	385.102	-724.114
1.25594e+06	-67.8342	815.153	307.547	-754.91
1.26174e+06	-71.2458	783.31	251.841	-741.722
1.26756e+06	-73.178	753.414	218.038	-721.174
1.27342e+06	-74.644	728.807	192.999	-702.788
1.27929e+06	-74.8059	710.329	186.17	-685.499
1.2852e+06	-75.3513	702.995	177.782	-680.144
1.29113e+06	-76.1235	690.223	165.536	-670.079
1.29709e+06	-76.6456	692.042	159.843	-673.33
1.30308e+06	-78.5658	693.161	137.414	-679.404
1.30909e+06	-80.7249	679.44	109.508	-670.557
1.31513e+06	-82.3271	657.692	87.8133	-651.803
1.3212e+06	-83.212	636.499	75.2317	-632.037
1.3273e+06	-84.0499	621.294	64.4049	-617.947
1.33343e+06	-84.5407	599.047	56.9928	-596.329
1.33958e+06	-84.7278	582.158	53.4928	-579.695
1.34577e+06	-84.7548	567.766	51.904	-565.388
1.35198e+06	-85.0087	554.902	48.279	-552.797
1.35822e+06	-84.6063	538.317	50.601	-535.934
1.36449e+06	-83.8211	528.285	56.8608	-525.216
1.37079e+06	-83.1233	523.989	62.7388	-520.22
1.37711e+06	-82.8035	522.124	65.4081	-518.011
1.38347e+06	-82.9823	522.179	63.7981	-518.267
1.38986e+06	-83.4331	518.933	59.3467	-515.528
1.39627e+06	-84.0492	514.208	53.3106	-511.437
1.40272e+06	-84.4751	505.749	48.6929	-503.4
1.40919e+06	-84.5022	497.16	47.6315	-494.873
1.4157e+06	-84.4386	491.765	47.6584	-489.451
1.42223e+06	-84.3601	487.587	47.9185	-485.227
1.4288e+06	-84.6591	485.908	45.2287	-483.798
1.43539e+06	-85.2367	481.463	39.9808	-479.8
1.44202e+06	-85.7588	474.405	35.0849	-473.106
1.44867e+06	-86.1013	467.088	31.7582	-466.007
1.45536e+06	-86.414	459.716	28.7538	-458.816
1.46208e+06	-86.5706	451.791	27.0257	-450.982
1.46882e+06	-86.6779	444.08	25.7343	-443.333
1.4756e+06	-86.7316	436.463	24.884	-435.753
1.48242e+06	-86.6644	428.989	24.9605	-428.262
1.48926e+06	-86.517	421.861	25.6292	-421.082
1.49613e+06	-86.3742	414.88	26.2368	-414.05
