#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321AA21BA
#Date Time: 2023-11-25 16:30:21.994
#Trace: Trace
#Start: 500000 Hz
#Stop: 5e+06 Hz
#Steps: 501
#Resistor: 1000 ?
#Average: 1
#ProbeResistance: 1.04e+06 ?
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 5 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 60.1568 V
#Offset: 0.000698911 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 60.9044 V
#Offset: 0.00197368 V
#Attenuation: 1 X

Frequency (Hz)	Trace Rs (?)	Trace Xs (?)
1.85768e+06	24.4314	-316.46
1.86625e+06	22.061	-316.939
1.87487e+06	20.1483	-313.66
1.88352e+06	20.7214	-309.699
1.89221e+06	22.7856	-306.047
1.90095e+06	25.0172	-305.25
1.90972e+06	25.9233	-306.063
1.91854e+06	25.4827	-306.116
1.92739e+06	25.7807	-304.128
1.93629e+06	24.6925	-303.734
1.94523e+06	25.0241	-304.303
1.9542e+06	21.8167	-305.309
1.96322e+06	18.5948	-304.759
1.97229e+06	16.5984	-301.817
1.98139e+06	16.3736	-296.225
1.99054e+06	13.3927	-292.853
1.99972e+06	12.4985	-289.628
2.00895e+06	13.0011	-286.128
2.01823e+06	14.6485	-281.967
2.02754e+06	16.4658	-279.599
2.0369e+06	18.4507	-278.849
2.0463e+06	19.9821	-278.314
2.05575e+06	22.1262	-277.766
2.06524e+06	23.7245	-277.936
2.07477e+06	22.2363	-276.562
2.08435e+06	19.5442	-274.341
2.09397e+06	18.63	-271.734
2.10363e+06	18.4996	-269.173
2.11334e+06	19.8231	-268.024
2.1231e+06	20.4022	-267.881
2.1329e+06	18.6423	-267.066
2.14274e+06	18.6662	-263.956
2.15263e+06	20.9289	-263.344
2.16257e+06	21.2185	-266.109
2.17255e+06	16.957	-265.634
2.18258e+06	13.7384	-262.71
2.19265e+06	12.7939	-258.11
2.20277e+06	13.2044	-253.693
2.21294e+06	14.6959	-250.113
2.22316e+06	16.9203	-246.585
2.23342e+06	21.6713	-244.168
2.24373e+06	25.5862	-246.693
2.25408e+06	23.8921	-248.75
2.26449e+06	25.4268	-246.438
2.27494e+06	25.865	-248.688
2.28544e+06	24.3476	-248.544
2.29599e+06	24.3917	-247.979
2.30659e+06	23.4757	-247.115
2.31723e+06	24.0684	-246.496
2.32793e+06	24.3419	-246.607
2.33868e+06	23.4091	-247.184
2.34947e+06	22.4648	-247.436
2.36032e+06	20.2156	-247.223
2.37121e+06	18.45	-246.123
2.38215e+06	16.9257	-244.663
2.39315e+06	15.1332	-243.304
2.4042e+06	13.2161	-240.803
2.41529e+06	12.9549	-237.468
2.42644e+06	13.6176	-234.965
2.43764e+06	14.5324	-232.271
2.44889e+06	16.5628	-231.223
2.4602e+06	18.0588	-232.031
2.47155e+06	16.482	-233.324
2.48296e+06	14.4388	-232.925
2.49442e+06	12.6532	-231.029
2.50594e+06	10.7089	-228.76
2.5175e+06	10.6033	-226.413
2.52912e+06	11.0742	-224.171
2.5408e+06	10.9974	-222.783
2.55252e+06	10.8287	-221.067
2.56431e+06	10.4519	-219.057
2.57614e+06	11.6673	-216.986
2.58803e+06	12.6744	-216.427
2.59998e+06	12.5278	-216.202
2.61198e+06	11.9574	-214.712
2.62404e+06	12.0969	-213.582
2.63615e+06	12.1396	-212.055
2.64832e+06	11.7594	-211.6
2.66054e+06	11.5201	-209.895
2.67282e+06	11.5285	-209.143
2.68516e+06	11.0899	-207.141
2.69755e+06	11.4738	-205.443
2.71e+06	12.2832	-204.226
2.72251e+06	13.4807	-203.76
2.73508e+06	13.3409	-203.807
2.7477e+06	12.7767	-203.943
2.76039e+06	12.2343	-202.977
2.77313e+06	11.0049	-202.275
2.78593e+06	10.1583	-201.208
2.79879e+06	9.16518	-199.575
2.81171e+06	8.18621	-198.282
2.82468e+06	7.97103	-195.986
2.83772e+06	7.40139	-193.802
2.85082e+06	7.50986	-192.05
2.86398e+06	8.14103	-189.8
2.8772e+06	8.47345	-188.579
2.89048e+06	8.5042	-187.873
2.90382e+06	9.0426	-186.173
2.91723e+06	8.19004	-184.508
2.93069e+06	8.40949	-183.141
2.94422e+06	8.41144	-181.917
2.95781e+06	8.62503	-179.343
